ParticipantNum,Condition #: ,Analysis Start Time (00:00.00),Analysis End Time (00:00.00),Time of Exclusion (when it starts): ,Total video analysis time (in seconds with hundredths),IncorrectDet,"Any Additional Notes About Recording (e.g. Face was covered at (time), pt head out of frame, Noldus couldn't detect anything, poor video quality, poor lighting, PT wearing glasses, etc) ",Video Analysis/Cleaning Completed by:,PT Analysis doubled checked and 100th of a second added,Total Time of Face Not Detected (FIND_FAIL/FIT_FAIL) During Analysis (in seconds with hundredth),Total Time of Face Incorrectly Detected During Analysis (in seconds with hundredth),Total Time Deleted from Analysis (in seconds with hundredth),Portion of Video Not Usable,Data Exported/Cleaned by:
62,2,6:32,14:55,7:34,493.35,"6:32.63-6:35.27, 6:36.13-6:43.00, 7:03.98-7:04.71, 7:41.14-7:44.05, 8:33.88-8:34.34, 8:34.47-8:35.53, 08:36.32-8:45.69, 8:45.49-8:53.54, 8:57.04- 9:03.97, 9:05.95-9:07.34, 10:08.85-10:29.18, 10:40.79-11:02.97, 11:07.66-11:22.04, 11:26.40-11:27.92, 11:32.41-11:40.85, 11:52.60-12:07.85, 12:12.20-12:12.93, 12:13.19-12:13.26, 12:13.52- 12:14.19, 12:21.44-12:23.23, 12:32.53-12:47.05, 13.02.89-13:12.59, 13:30.88-13:35.50, 14:24.27-14:44.40                           ","For 80% of the video the mouth is not lining up correctly; Noldus thinks its bigger than it actually is, but still seems to be reading expressions correctly. for now i only recorded face incorrectly detected times if they appear to be compleatly off. might have to be recoded. video also suffers from poor quality.",Patrick,,,,0,0,
63,1,6:11,14:30,8:43,499.42,"06:11.12-06:12.50, 6:19.90- 06:19.96, 06:23.92-6:23.99, 06:27.29-06:27.35, 06:23.11-06:35.87, 07:24.51-07:24.71, 07:40.94-04:41.47, 07:48.14-07:48.67, 08:03.45-08:03.71, 08:07.95- 08:11.90, 08:14.87-08:57.70, 09:09.91-09:11.83, 09:17.70-09:20.60, 09:21.26-09:24.63, 09:25.16-09:25.22, 09:27.73-09:28.46, 09:31.89-09:31.96, 09:33.01-09:37.10, 09:38.62-09:38.82, 09:40.40-09:43.90, 09:44.36-09:48.85, 09:51.62-09:51.94, 09:55.58-09:55.91, 09:56.57-10:37.36, 10:38.55-10:44.75, 10:48.32-10:48.78, 10:50.83-10:57.95, 11:05.94-11:16.30, 11:17.16-11:17.82, 11:21.78-11:22.24, 11:22.97-11:24.88,11:25.54-11:26.86, 11:27.65-11:40.66, 11:42.24-11:44.22, 11:44.81-11:57.35, 11:58.74-12:00.98, 12:02.11-12:02.17, 12:04.81-13:16.29, 13:18.20-13:18.27, 13:19.06- 14:30                                     ",Participant had their hand infront of face for the majority of the study.,Patrick,,,,0,0,
64,3,06:51.9,15:17.3,8:33,505.36,"06:53.95-06:54.51, 06:58.84-07:00.35, 07:00.75-07:19.96, 07:28.67-07:56.78, 07:59.42-08:15.99, 08:17.31-08:28.40, 08:28.53-09:12.02, 09:21.92-10:10.57, 10:37.36-11:14.72, 11:16.50-11:18.48, 11:31.28-15:17.27, , ",,"Kaitlin, Robert",,,,0,0,
65,3,3:22,11:07,5:02,489.54,"3:22.62-3:34.34, 3:28.63-3:29.81, 3:30.28-3:30.41, 3:30.87-2:31.20, 3:31.66-3:31.73, 3:32.06-3:32.85, 3:35.56-3:37.93, 3:38.20-3:38.33, 3:38.72-3:42.88, 3:46.91-3:47.37, 3:53.51-3:55.55, 4:01.10-4:05.85, 4:06.38-4:09.48, 4:11.00-4:13.84, 4:15.22-4:15.29, 4:17.93-4:21.03, 4:22.68-4:29.54, 4:33.31-4:37.46, 4:41.09-4:45.45, 4:49.54-4:50.33, 4:50.99-4:58.91, 5:02.94-5:03.53, 5:11.72-5:53.36, 5:54.09-5:24.22, 5:55.81-5:56.73, 5:57.46-5:59.96, 6:07.16-6:13.03, 6:13.36-6:17.92, 6:18.11-6:18.18, 6:25.77-6:29.80, 6:37.25-6:53.95, 6:55.27-7:00.75, 7:02.14-7:28.87, 7:32.69-7.37.31, 7:38.44-7:42.26, 7:43.19-7:44.71, 7:47.15-7:52.36, 7:54.41-7:56.85, 7:59.23-8:12.29, 8:13.64-8:55.46, 9:10.77-9:15.19, 9:32.02-9:57.04, 9:58.36-10:01.72, 10:30.63-10:45.48, 10:46.54-11:03.83, 11:07.00-11:37.49    ","paused the video 30 seconds little late, will fix in data cleaning phase. Most of the Data was unusable kept reading incorrectly.",Patrick,,,,0,0,
66,2,5:18,13:18,6:33,,"5:21.88-5:23.60, 7:16.33-7:19.76, 11:44.35-11:46.00",PT sitting at angle during a few points in the video.,Sarkis ,,,,0,#DIV/0!,
67,3,3:48,12:12,5:12,,"4:04.40-4:06.31, 7:13.55-7:15.67, 12:13.66-12:16.63",Pt moved their hand in front of their face at a few moments within the video. ,Sarkis ,,,,0,#DIV/0!,
68,1,4:39,13:19,6:49,,"4:39.05-5:55.81, 6:30.59-6:30.72, 6:50.78-6:52.63, 13:15.04-13:18.27","Pt places phone in front of her face a lot, especially in the beginning. Also blocks her face a few times with her hand. ",Sarkis ,,,,0,#DIV/0!,
69,1,4:15,12:19,6:04,,00.00.0-00.00.0,,Sarkis ,,,,0,#DIV/0!,
70,3,04:00.0,12:14.3,5:31,494.34,"4:07.1-4:12.25, 4:17.4-4:22.02, 4:23.67-4:32.91, 4:35.35-4:36.14, 4:49.21-5:03.73, 5:18.32-5:26.24, 5:41.02-6:23.99, 6:30.26-6:40.03, 6:55.27-7:16.66, 7:25.43-7:42.00, 8:00.22-8:02.79, 9:01.53-9:18.10, 9:38.69-10:00.27, 10:27.00-10:28.98, 11:03.56-11:17.03, 11:40.19-11:44.88",,Quinton/Robert,,,,0,0,
71,2,04:00.0,11:59.7,5:38,479.69,"4:00.04-6:46.43, 6:53.89-6:59.10, 7:05.11-7:12.56, 7:28.01-7:35.14, 7:44.90-8:26.09, 8:40.81-9:25.82, 9:37.10-10:03.90,10:18.09-10:49.87, 11:19.14-11:29.70,11:36.50-11:41.65, 11:49.04-11:52.87, 11:56.50-11:59.73",Face read incorrectly majority of video; PT hair in face,Quinton,,,,0,0,
72,2,5:51.98_,13:49.4,7:11,477.44,"5:51.98-6.00.10, 6:02.08-6:07.09, 6:10.00-6:29.00, 6:40.16-7:01.81, 7:12.37-7:17.45, 7:26.96-8:06.62, 8:10.45-8:39.75, 8:46.88-9:45.95, 10:26.21-10:31.16, 10:36.97-10:38.42, 10:48.12-10:52.34, 10:57.10-12:31.33, 12:22.30-12:23.36, 12:42.89-12:46.46, 12:50.68-13:26.32, 13:41.57-13.49.42 ","Dim lighting, shadows on PT face. ",Quinton,,,,0,0,
73,2,4:47,12:58,5:58,491.57,"04:47.17-04:51.26, 04:55.88-04:56.41, 04:59.71-05:00.17, 05:01.22-05:02.61, 05:03.66-05:06.44, 05:17.72-05:20.83, 05:23.27-05:23.40, 05:24.92-05:25.51, 10:26.34-10:26.80 ",,Patrick,,,,0,0,
74,2,4:06,12:21,5:53,495.6,"04:08.82-04:10.47, 04:16.81-04:17.73, 04:18.32-04:18.59, 04:18.85-04:23.54, 04:50.86-04:53.11, 05:05.78-05:08.88, 05:13.90-05:14.49, 05:15.81-05:22.28, 05:23.66-05:25.88, 07:05.57-07:09.73, 07:55.53-08:06.55, 08:09.92-08:11.04, 08:41.60-08:42.26, 09:10.64-09:11.69, 11:59.47-11.59.80, 12:01.51-12:08.97",,Patrick,,,,0,0,
75,3,05:00.0,13:20.2,6:08,500.21,,"Majority of video face modeling failed, PT wearing glasses",Quinton,,,,0,0,
76,2,04:57.0,12:59.3,6:39,482.33,"4:57.00-5:12.11, 7:15.34-7:15.86, 8:35.00-8:38.23, 10:05.48-11:23.89, 11:30.49-11:56.83, 12:02.04-12:59.33",,Quinton,,,,0,0,
77,1,6:39,15:16,9:35,485.63,"06:39.17-06:39.89, 06:40.16-06:42.60, 06:42.80-06:43.13, 06:43.46-06:53.03, 06:53.23-06:58.70, 07:11.18-07:20.22, 07:20.33-07:21.08, 07:21.94-07:22.07, 07:22.46-07:23.12, 07:23.98-07:27.02, 07:27.35-07:30.05, 07:30.38-07:34.28, 07:34.48-07:36.79, 07:37.05-07:46.69, 07:47.15-07:56.92, 07:57.18-08:03.57, 08:10.05-08:14.08, 08:16.52-08:18.89, 08:52.36-08:55.33, 11:28.38-11:43.43, 11:47.45-11:56.17, 12:19.73-12:57.28, 13:06.72-13:24.34, 15:38.72-15:16.34",,Patrick,,,,0,0,
78,1,04:19.1,12:24.6,6:02,485.5,"4:20.44-4:47.36, 4:50.33-4:52.51, 4:57.86-5:07.82, 5:16.21-5:18.52, 5:22.41-5:28.75, 5:46.10-5:51.65, 6:08.94-6:12.31, 6:17.26-6:30.85, 6:38.44-6:45.44, 6:50.65-6:53.49, 7:23.85-7:36.85, 7:40.15-7:41.87, 7:46.03-7:50.84, 8:27.28-8:29.19, 8:40.15-8:45.36, 9:09.25-9:11.17, 9:15.85-9:27.53, 9:32.15-9:36.58, 9:45.22-9:57.89, 10:04.69-10:16.44, 11:08.45-11:16.43, 11:26.27-11:32.93, 11:38.48-11:50.56, 12:02.17-12:24.55",,Quinton ,,,,0,0,
79,3,4:16,12:32,5:35,499.46,"06:35.74-06:50.72, 07:17.51-07:18.31, 07:18.70-08:22.26, 12:32.60-12:35.56",,Patrick,,,,0,0,
80,1,5:20,13:25,8:45,489.85,"07:04.12-07:08.21, 07:08.85-07:11.71, 11:06.74-11:12.34, 12:10.62-12:14.32",,Patrick,,,,0,0,
81,1,04:26.0,13:22.6,6:18,536.58,"5:24.26-5:38.12, 6:27.68-6:38.24, 6:43.66-6:44.78, 7:00.55-7:04.64, 7:10.52-7:28.47, 7:33.42-7:59.29, 8:02.33-8:09.26, 8:20.54-8:22.99, 8:26.02-8:51.96, 8:57.77-9:48.72, 10:10.30-10:12.74, 10:21.13-10:38.29, 10:45.28-10:57.16, 11:01.32-11:44.68, 11:53.26-12:54.71, 12:56.95-13:22.56",Noldus incorrectly reads neckline extending face lower than it should be,Quinton,,,,0,0,
82,2,06:46.0,14:49.5,8:58,483.45,"6:46.03-8:41.33, 8:50.18-9:08.99, 9:32.35-11:12.61, 11:17.36-12.01.84, 12:10.03-12:56.29, 13:04.41-14:40.04, 14:45.59-14:49.48",PT hair in face causing improper facial read,Quinton,,,,0,0,
83,1,04:20.0,12:35.2,6:17,495.2,"4:20.04-5:00.63, 5:09.54-5:35.08, 5:42.21-8:42.46, 8:57.83-9:31.30, 9:51.43-9:54.95, 10:12.55-11:00.46, 11:39.14-12.29 ","PT wearing glasses, Noldus reads glasses as eyebrows",Quinton,,,,0,0,
84,1,5:32,13:40,8:35,488.47,"05:31.98-05:41.62, 06:48.08-06:50.06, 06:55.60-06:59.36, 07:02.07-07:04.31, 07:12.34-07:39.16, 07:46.29-07:47.48, 07:53.15-07:55.00, 07:56.98-08:09.92, 08:11.83-08:22.19, 09:32.29-09:34.13, 09:37.76-09:44.89, 09:56.64-09:57.17, 10:00.01-10:01.72, 10:07.20-10:13.14, 10:54.39-10:55.58, 10:58.02-11:02.84, 11:12.80-11:12.99, 11:26.14-11:43.56, 11:44.42-11:44.95, 11:45.41-11:46.66, 12:21.44-12:22.43, 12:56.09-12:57.28, 13.02.63-13.04.41, 13:08.44-13:40.38",PT wearing glasses,Patrick,,,,0,0,
85,2,4:37,12:36,6:40,479.16,"04:40.70-04:41.56, 04:44.53-04:45.15, 04:55.09-04:55.55, 05:13.43-15:33.56, 05:35.87-05:45.64, 05:51.25-05:52.61, 05:55.08-05:56.00, 06:52.37-06:53.62, 06:58.64-07:03.92, 07:06.29-08:51.43, 08:52.75-09:01.93, 09:53.47-10:22.97, 10:36.04-11:01.72, 11:03.30-11:07.13, 11:09.04-11:10.56, 11:11.48-11:14.78, 11:15.31-11:20.72, 11:47.45-11:49.04, 11:50.09-11:51.35, 11:54.25-11:55.11, 11:58.81-11:58.87, 12:14.46-12:19.93, 12:20.78-12:22.04, 12:25.93-12:35.90 ",,Patrick,,,,0,0,
86,2,6:33,15:05,7:55,512.36,"06:33.03-06:34. 55, 06:42.60-06:46.82, 07:00.55-07:01.21, 07:02.40-07:06.29, 07:46.49-07:47.02, 07:52.76-08:01.01, 08:07.94-08:21.60, 09:30.31-09:46.94, 09:49.05- 09:49.71, 09:55.25-09:56.77, 09:58.82-10:02.12, 10:02.58-10:07.79, 10:11.49-10:36.50, 11:26.66-11:42.26, 11:44.09-11:46.00, 11:48.23-11:53.92, 11:55.24-12:15.11, 12:16.10-12:48.90, 12:49.63-12:49.76,12:50.35-12:51.08, 12:53.92-12:54.84, 12:55.32-12:55.83, 12:56.89-13:04.74, 13:06.59-13:22.36, 12:23.68-13:32.06, 12:34.44-13:34.77, 13:35.83-13:37.94, 13:43.22-13:55.76, 13:56.96-13:57.61, 14:03.41-14:04.67, 14:06.19-04:09.68, 14:11.99-14:13.05, 14:14.17-14:18.07, 14:18.79-14:44.00 ",PT wearing glasses,Patrick,,,,0,0,
87,1,9:45,17:49,12:04,484.27,"10:57.27-10:59.93, 11:02.64-11:05.94, 11:25.61-11:27.39, 11:39.73-11:42.70, 12:09.10-12:10.69, 16:59.63-17:03.92, 17:05.64-17:16.33",,Patrick,,,,0,0,
88,3,4:05,12:33,5:22,508.4,"04:06.31-04:07.31, 04:26.31-04:28.09, 04:53.24-04:54.23, 05:10.53-05:13.50, 05:14.42-05:15.74, 05:37.19-05:53.69, 06:39.10-06:46.96, 07:01.71-07:06.10, 07:17.56-07:44.08, 07:43.12-07:43.32, 07:43.98-07:44.38, 08:00.81-08:04.81, 08:14.67-08:25.36",,Patrick,,,,0,0,
89,2,4:40,12:44,6:01,,"04:40.24-04:41.75, 04:47.56-04:49.41, 04:54.43-04:58.19, 05:04.85-05:08.02, 05:14.03-05:18.05, 05:50.46-05:59.90, 06:19.24-06:24.65, 06:41.54-06:45.64, 07:11.97-07:16.19, 08:04.44-08:12.76, 08:19.62-08:29.32, 08:58.56-09:18.03, 09:21.86-09:24.23, 09:31.10-09:45.09, 10:15.12-10.18.82, 10.28.98-10:39.61, 10:41.19-11:00.20, 11:03.70-11:07.13, 11:09.11-11:13.46, 11:13.86-11:22.70, 11:51.41-11:53.79, 11:58.81-12:07.45, 12:20.06-12:23.89, 12:44.87-12:45.40, 12:46.71-12:46.99",,Patrick/Lily,,,,0,#DIV/0!,
90,2,8:00,16:02,10:01,,Analyzing,,Quinton,,,,0,#DIV/0!,
91,2,3:49,12:25,5:01,,Still Analyzing,,Patrick,,,,0,#DIV/0!,
92,2,5:37,13:59,6:48,,,,,,,,0,#DIV/0!,
93,3,3:56,12:18,5:19,,,,,,,,0,#DIV/0!,
94,3,4:59,13:01,6:25,,,,,,,,0,#DIV/0!,
95,1,6:33,15:06,8:55,,,,,,,,0,#DIV/0!,
96,2,6:30,14:34,8:17,,,,,,,,0,#DIV/0!,
97,3,3:33,11:48,6:26,,,,,,,,0,#DIV/0!,
98,1,6:05,14:42,8:04,,,,,,,,0,#DIV/0!,
99,1,7:17,15:20,9:20,,,,,,,,0,#DIV/0!,
100,2,4:12,12:25,5:39,,,,,,,,0,#DIV/0!,
101,2,8:13,16:24,9:23,,,,,,,,0,#DIV/0!,
102,1,4:32,13:43,6:37,,,,,,,,0,#DIV/0!,
103,2,7:15,15:20,9:03,,,,,,,,0,#DIV/0!,
104,2,8:06,15:59,10:41,,,,,,,,0,#DIV/0!,
105,3,4:25,12:28,6:20,,,,,,,,0,#DIV/0!,
106,1,4:07,12:26,7:31,,,,,,,,0,#DIV/0!,
107,2,5:45,14:04,7:59,,,,,,,,0,#DIV/0!,
108,1,4:50,13:07,6:56,,,,,,,,0,#DIV/0!,
109,2,5:36,14:44,8:28,,,,,,,,0,#DIV/0!,
110,2,3:21,11:38,5:34,,,,,,,,0,#DIV/0!,
111,1,4:54,13:24,6:52,,,,,,,,0,#DIV/0!,
112,3,4:20,12:25,6:07,,,,,,,,0,#DIV/0!,
113,2,4:36,12:57,5:37,,,,,,,,0,#DIV/0!,
114,2,N/A,N/A,,,,Study stopped due to pt using translator. No Video. ,,,,,0,#DIV/0!,
115,1,6:40,15:03,9:10,,,,,,,,0,#DIV/0!,
116,2,10:13,19:05,12:07,,,,,,,,0,#DIV/0!,
117,3,4:20,12:57,5:44,,,,,,,,0,#DIV/0!,
118,3,4:06,12:12,5:29,,,,,,,,0,#DIV/0!,
119,3,2:58,11:11,4:20,,,,,,,,0,#DIV/0!,
120,2,7:50,15:48,9:48,,,,,,,,0,#DIV/0!,
121,3,3:33,12:32,5:11,,,,,,,,0,#DIV/0!,
122,3,4:19,13:08,5:34,,,,,,,,0,#DIV/0!,
123,3,12:11,20:27,13:17,,,,,,,,0,#DIV/0!,
124,2,4:19,12:28,5:24,,,,,,,,0,#DIV/0!,
125,1,4:31,12:35,6:20,,,,,,,,0,#DIV/0!,
126,1,3:37,11:53,5:28,,,,,,,,0,#DIV/0!,
127,3,3:21,12:55,4:39,,,,,,,,0,#DIV/0!,
128,2,6:00,14:31,8:13,,,,,,,,0,#DIV/0!,
129,1,4:10,13:05,6:29,,,,,,,,0,#DIV/0!,
130,2,4:42,12:57,6:18,,,,,,,,0,#DIV/0!,
131,1,7:16,15:31,9:06,,,,,,,,0,#DIV/0!,
132,3,4:44,13:05,6:00,,,,,,,,0,#DIV/0!,
133,1,4:45,13:52,8:24,,,,,,,,0,#DIV/0!,
134,2,4:35,13:47,5:32,,,,,,,,0,#DIV/0!,
135,2,4:09,12:49,5:25,,,,,,,,0,#DIV/0!,
136,3,3:28,11:29,4:50,,,,,,,,0,#DIV/0!,
137,1,5:42,13:54,7:37,,,,,,,,0,#DIV/0!,
138,1,8:10,16:25,9:59,,,,,,,,0,#DIV/0!,
139,3,4:55,14:00,6:39,,,,,,,,0,#DIV/0!,
140,3,3:41,12:00,5:15,,,,,,,,0,#DIV/0!,
141,2,6:41,14:34,7:46,,,,,,,,0,#DIV/0!,
142,1,5:17,13:23,7:29,,,,,,,,0,#DIV/0!,
143,3,3:45,12:37,5:27,,,,,,,,0,#DIV/0!,
144,1,5:19,13:46,7:55,,,,,,,,0,#DIV/0!,
145,3,3:29,12:00,5:45,,,,,,,,0,#DIV/0!,
146,2,4:21,13:24,5:45,,,,,,,,0,#DIV/0!,
147,3,3:12,11:25,4:48,,,,,,,,0,#DIV/0!,
148,3,4:14,12:58,6:23,,,,,,,,0,#DIV/0!,
149,3,N/A,N/A,,,,Video did not save. No Video. ,,,,,0,#DIV/0!,
150,1,4:22,13:04,7:05,,,,,,,,0,#DIV/0!,
151,3,3:05,11:47,4:59,,,,,,,,0,#DIV/0!,
152,3,3:12,11:17,4:39,,,,,,,,0,#DIV/0!,
153,3,2:58,11:32,4:14,,,,,,,,0,#DIV/0!,
